,0
466,33.919327
467,112.05751
468,85.38028
469,13.708798
470,51.6703
471,29.051998
472,50.789528
473,100.15138
474,37.586964
475,6.2826633
476,54.641487
477,181.03963
478,65.08017
479,75.47641
480,98.56578
481,117.062614
482,124.06722
483,137.15715
484,93.81378
485,118.59931
486,39.53114
487,12.909842
488,35.991688
489,9.830514
490,96.787476
491,23.046976
492,51.089832
493,19.421722
494,221.62965
495,4.274387
496,27.145962
497,89.03206
498,32.091583
499,94.011566
500,45.55964
501,115.97538
502,12.858238
503,87.78772
504,37.539143
505,145.19562
506,12.265894
507,92.857735
508,44.34294
509,134.42865
510,141.81313
511,154.78984
512,5.436561
513,65.571526
514,72.23705
515,89.36473
516,-1.2717059
517,100.98982
518,58.873096
519,175.21135
520,58.327755
521,97.96511
522,91.72461
523,108.118385
524,139.62822
525,93.074615
526,154.42738
527,95.0194
528,33.663754
529,111.260925
530,52.595634
531,51.780632
532,18.252102
533,78.22722
534,100.138756
535,121.45365
536,-9.693404
537,70.745384
538,78.99587
539,45.029865
540,71.18996
541,53.624146
542,51.9747
543,119.60893
544,46.89661
545,127.42101
546,129.84096
547,27.831722
548,24.013645
549,109.464745
550,24.38363
551,28.376339
552,90.382805
553,129.39633
554,153.5047
555,48.48812
556,93.99568
557,31.422047
558,57.486496
559,230.67871
560,110.2768
561,155.47601
562,-15.016121
563,50.19814
564,109.652565
565,101.40325
566,91.02318
567,37.248913
568,70.96529
569,134.64941
570,31.984482
571,31.121214
572,7.313625
573,0.40443683
574,132.09686
575,37.99588
576,20.467655
577,30.403746
578,91.5542
579,148.89377
580,84.25522
581,24.242342
582,321.19186
583,13.381512
584,116.06256
585,87.09218
586,6.4132876
587,116.49684
588,58.370792
589,47.89617
590,91.41175
591,88.538574
592,52.96659
593,-3.2963426
594,89.01439
595,-15.434213
596,54.602356
597,15.738424
598,156.77722
599,114.76417
600,97.49894
601,104.30599
602,114.25038
603,76.80636
604,57.950756
605,132.26158
606,157.02809
607,191.21904
608,41.36019
609,117.984665
610,62.382435
611,108.19355
612,16.927135
613,19.933447
614,51.427483
615,150.94476
616,92.88498
617,55.317265
618,116.299194
619,35.455963
620,45.662533
621,54.890404
622,74.157394
623,33.766544
624,175.24982
625,55.182415
626,39.455597
627,57.462242
628,67.44011
629,99.86825
630,32.42642
631,61.878025
632,80.37488
633,111.25346
634,68.75026
635,99.31048
636,63.13429
637,2.6100519
638,65.52203
639,48.915264
640,143.73326
641,42.53191
642,62.745617
643,25.709661
644,-11.938356
645,30.446592
646,69.99365
647,100.63991
648,55.740135
649,84.585915
650,39.191055
651,58.564754
652,83.58572
653,69.7319
654,65.60373
655,104.63327
656,-28.734621
657,72.77323
658,54.75246
659,142.11731
660,78.63851
661,105.87305
662,100.02418
663,169.0538
664,8.318255
665,82.808136
666,119.56444
667,29.204426
668,14.257101
669,2.3537607
670,91.988434
671,182.20499
672,166.40182
673,147.70973
674,34.89913
675,121.63397
676,104.778305
677,21.448008
678,55.990845
679,140.5343
680,112.55329
681,-9.146552
682,85.223915
683,123.918434
684,93.3174
685,55.66658
686,24.4792
687,77.43306
688,7.896348
689,-30.867048
690,39.571815
691,81.63267
692,76.41715
693,90.154144
694,110.76555
695,94.03914
696,138.95166
697,92.58257
698,87.00708
699,100.445335
700,77.08094
701,86.94134
702,51.687737
703,82.27961
704,21.41042
705,50.90447
706,75.036896
707,9.895925
708,80.19136
709,3.9939227
710,73.43685
711,100.74947
712,-17.419765
713,94.47795
714,147.83934
715,59.085903
716,59.670753
717,9.965004
718,154.14453
719,101.124596
720,49.621532
721,17.776503
722,33.558075
723,44.04658
724,35.827263
725,103.3401
726,81.54184
727,113.79625
728,116.40363
729,142.04572
730,92.54399
731,122.510056
732,144.2795
733,-32.326202
734,-39.745735
735,43.681995
736,156.724
737,104.723694
738,94.60802
739,152.3164
740,135.22664
741,74.72028
742,56.50712
743,175.25018
744,76.9444
745,95.905464
746,108.0751
747,97.91711
748,52.12108
749,119.59216
750,69.867546
751,54.18224
752,77.08876
753,34.58815
754,141.06845
755,150.0778
756,44.91036
757,79.489426
758,113.27465
759,33.82858
760,82.01609
761,80.57794
762,98.724525
763,45.630856
764,157.13196
765,35.678402
766,56.80467
767,59.86273
768,12.528115
769,24.566422
770,65.801956
771,85.661766
772,17.000736
773,126.365074
774,151.58401
775,103.68323
776,49.14755
777,96.79391
778,42.98193
779,26.863646
780,157.74382
781,66.467415
782,89.27227
783,71.02608
784,73.47988
785,67.4108
786,56.558758
787,174.79129
788,155.48221
789,104.66057
790,121.64233
791,98.76137
792,51.18063
793,-8.534781
794,102.619446
795,2.1627872
796,107.62931
797,40.31152
798,151.72086
799,18.985725
800,98.98491
801,119.94883
802,170.21611
803,5.718422
804,74.267456
805,51.74311
806,63.958946
807,232.74309
808,185.74524
809,56.19287
810,66.12011
811,145.34024
812,127.80813
813,29.918432
814,84.57483
815,174.60736
816,69.406555
